50199
35 9.00000000 0 2 residential Spitbank Fort
50.77050460 -1.09862580
50.77054160 -1.09863360
50.77057710 -1.09865210
50.77060990 -1.09868060
50.77063880 -1.09871810
50.77066280 -1.09876340
50.77068120 -1.09881480
50.77069320 -1.09887080
50.77069860 -1.09892930
50.77069710 -1.09898830
50.77068870 -1.09904590
50.77067380 -1.09910010
50.77065290 -1.09914900
50.77062660 -1.09919110
50.77059580 -1.09922470
50.77056170 -1.09924890
50.77052540 -1.09926270
50.77048810 -1.09926580
50.77045100 -1.09925790
50.77041550 -1.09923950
50.77038280 -1.09921100
50.77035390 -1.09917350
50.77032990 -1.09912820
50.77031150 -1.09907670
50.77029940 -1.09902080
50.77029410 -1.09896230
50.77029560 -1.09890330
50.77030390 -1.09884570
50.77031880 -1.09879150
50.77033980 -1.09874250
50.77036610 -1.09870050
50.77039680 -1.09866690
50.77043090 -1.09864270
50.77046730 -1.09862880
50.77050460 -1.09862580
15 15.00000000 0 2 church St Agathas
50.80240010 -1.09193530
50.80236090 -1.09192740
50.80235590 -1.09190860
50.80234830 -1.09189160
50.80233400 -1.09188350
50.80232020 -1.09188120
50.80230750 -1.09188620
50.80229420 -1.09190090
50.80228720 -1.09192060
50.80224990 -1.09191230
50.80219630 -1.09204730
50.80219270 -1.09211370
50.80217680 -1.09240470
50.80237290 -1.09243150
50.80240010 -1.09193530
23 3.00000000 1 2 pier 
50.79528200 -1.10816520
50.79520240 -1.10832100
50.79482880 -1.10826900
50.79482530 -1.10833230
50.79517460 -1.10838100
50.79499690 -1.10873110
50.79431150 -1.10863990
50.79430750 -1.10871660
50.79500980 -1.10881000
50.79535370 -1.10813590
50.79478470 -1.10741610
50.79476610 -1.10746120
50.79463770 -1.10729720
50.79461740 -1.10733690
50.79479150 -1.10755940
50.79464670 -1.10784280
50.79467030 -1.10787300
50.79482060 -1.10757870
50.79492450 -1.10771160
50.79477650 -1.10800130
50.79479700 -1.10802750
50.79494620 -1.10773560
50.79528200 -1.10816520
17 9.00000000 0 2 residential Pyramids Centre
50.77924040 -1.08507090
50.77917930 -1.08478580
50.77915630 -1.08467850
50.77912240 -1.08452000
50.77878770 -1.08469340
50.77870480 -1.08432320
50.77860460 -1.08437780
50.77845500 -1.08445940
50.77851960 -1.08475470
50.77852200 -1.08483130
50.77864140 -1.08539090
50.77879450 -1.08530940
50.77890450 -1.08581810
50.77925670 -1.08563500
50.77915840 -1.08515800
50.77915060 -1.08512010
50.77924040 -1.08507090
10 9.00000000 0 2 residential Fratton Community Centre
50.80184670 -1.07722870
50.80184510 -1.07709100
50.80184250 -1.07687420
50.80173580 -1.07687730
50.80173370 -1.07669640
50.80166070 -1.07669860
50.80166270 -1.07686820
50.80163120 -1.07686920
50.80163550 -1.07723500
50.80184670 -1.07722870
28 9.00000000 0 2 residential D-Day Museum
50.77952660 -1.08928620
50.77948870 -1.08932910
50.77945070 -1.08929480
50.77940720 -1.08930340
50.77937470 -1.08934630
50.77936930 -1.08941500
50.77938550 -1.08948360
50.77942900 -1.08951800
50.77947240 -1.08950940
50.77955920 -1.08961240
50.77953210 -1.08969820
50.77959180 -1.08975830
50.77960810 -1.08970680
50.77966780 -1.08976690
50.77970030 -1.08967250
50.77976540 -1.08990420
50.77988480 -1.08985270
50.77980340 -1.08942350
50.77976540 -1.08944070
50.77975240 -1.08936640
50.77971120 -1.08913170
50.77967860 -1.08902870
50.77962430 -1.08899440
50.77956460 -1.08900300
50.77951580 -1.08905450
50.77949950 -1.08913170
50.77949950 -1.08922610
50.77952660 -1.08928620
31 6.00000000 0 0 residential The Boardwalk Shopping Centre
50.84158660 -1.09666160
50.84166630 -1.09669890
50.84163660 -1.09684300
50.84155510 -1.09680490
50.84149730 -1.09685650
50.84140190 -1.09681510
50.84136490 -1.09669930
50.84123070 -1.09679330
50.84126900 -1.09692670
50.84083840 -1.09726700
50.84114270 -1.09822680
50.84104810 -1.09866020
50.84096870 -1.09861550
50.84088930 -1.09857080
50.84079180 -1.09831310
50.84078450 -1.09828890
50.84091830 -1.09817440
50.84092910 -1.09820240
50.84093860 -1.09822710
50.84094750 -1.09822040
50.84063020 -1.09732080
50.84065800 -1.09717950
50.84069290 -1.09700200
50.84114990 -1.09665550
50.84112310 -1.09657110
50.84134630 -1.09639620
50.84127490 -1.09616620
50.84112170 -1.09609900
50.84115870 -1.09589760
50.84137170 -1.09599480
50.84158660 -1.09666160
25 9.00000000 0 2 residential 
50.80008430 -1.13604660
50.80008840 -1.13640220
50.79999460 -1.13640490
50.79999560 -1.13649020
50.80002970 -1.13648920
50.80003110 -1.13661280
50.80044490 -1.13660080
50.80044120 -1.13628910
50.80060260 -1.13628440
50.80060110 -1.13616060
50.80068040 -1.13615830
50.80067190 -1.13542690
50.80062350 -1.13542830
50.80062200 -1.13529480
50.80066670 -1.13529350
50.80066580 -1.13521280
50.80037050 -1.13522140
50.80037290 -1.13542720
50.79999490 -1.13543820
50.79999900 -1.13579370
50.80018490 -1.13578830
50.80018320 -1.13564170
50.80041200 -1.13563500
50.80041670 -1.13603700
50.80008430 -1.13604660
22 9.00000000 0 2 residential 
50.79966590 -1.13506510
50.79967700 -1.13573140
50.79968790 -1.13573100
50.79970730 -1.13576500
50.79970940 -1.13588780
50.79969260 -1.13588850
50.79969450 -1.13600390
50.79971080 -1.13600320
50.79971310 -1.13614020
50.79969600 -1.13617050
50.79968010 -1.13617110
50.79969370 -1.13698450
50.79978350 -1.13698070
50.79977030 -1.13619310
50.79976690 -1.13598570
50.79972590 -1.13598740
50.79972460 -1.13591320
50.79976560 -1.13591150
50.79976180 -1.13567900
50.79973570 -1.13568010
50.79972540 -1.13506270
50.79966590 -1.13506510
5 9.00000000 0 2 residential Photography Building
50.79991780 -1.13652030
50.79991640 -1.13640250
50.79981300 -1.13640540
50.79981440 -1.13652320
50.79991780 -1.13652030
11 8.00000000 0 2 industrial Ocean Basin
50.78630460 -1.12888300
50.78681550 -1.12802860
50.78682780 -1.12804590
50.78723770 -1.12736330
50.78725930 -1.12739860
50.78729700 -1.12733350
50.78778390 -1.12806220
50.78725540 -1.12895640
50.78723570 -1.12892670
50.78680790 -1.12963820
50.78630460 -1.12888300
14 9.00000000 0 2 residential Morrisons
50.79498820 -1.12593710
50.79504010 -1.12595610
50.79551170 -1.12612870
50.79543800 -1.12672740
50.79548910 -1.12675030
50.79549740 -1.12678550
50.79545420 -1.12709930
50.79536800 -1.12717870
50.79488170 -1.12698610
50.79484100 -1.12688490
50.79481970 -1.12683210
50.79484680 -1.12680800
50.79493750 -1.12624920
50.79498820 -1.12593710
15 9.00000000 0 2 residential Packaging Works (Huhtamaki UK Ltd)
50.81106380 -1.16155850
50.81043970 -1.16103350
50.81041250 -1.16111450
50.81035650 -1.16106740
50.81038300 -1.16098830
50.81027590 -1.16089820
50.81059670 -1.15994330
50.81142670 -1.16064150
